"Genre" "name"
"Conceveiba_guianensis" "Conceveiba" "Conceveiba_guianensis"
"Gustavia_hexapetala" "Gustavia" "Gustavia_hexapetala"
"Lecythis_persistens" "Lecythis" "Lecythis_persistens"
"Licania_laxiflora" "Licania" "Licania_laxiflora"
"Chaunochiton_kappleri" "Chaunochiton" "Chaunochiton_kappleri"
"Mabea_piriri" "Mabea" "Mabea_piriri"
"Licania_alba" "Licania" "Licania_alba"
"Qualea_rosea" "Qualea" "Qualea_rosea"
"Pouteria_gongrijpii" "Pouteria" "Pouteria_gongrijpii"
"Eschweilera_sagotiana" "Eschweilera" "Eschweilera_sagotiana"
"Sextonia_rubra" "Sextonia" "Sextonia_rubra"
"Licania_membranacea" "Licania" "Licania_membranacea"
"Symphonia_sp.1" "Symphonia" "Symphonia_sp.1"
"Swartzia_guianensis" "Swartzia" "Swartzia_guianensis"
"Trattinnickia_demerarae" "Trattinnickia" "Trattinnickia_demerarae"
"Rhodostemonodaphne_grandis" "Rhodostemonodaphne" "Rhodostemonodaphne_grandis"
"Pouteria_guianensis" "Pouteria" "Pouteria_guianensis"
"Pogonophora_schomburgkiana" "Pogonophora" "Pogonophora_schomburgkiana"
"Oenocarpus_bataua" "Oenocarpus" "Oenocarpus_bataua"
"Couma_guianensis" "Couma" "Couma_guianensis"
"Micropholis_venulosa" "Micropholis" "Micropholis_venulosa"
"Sterculia_pruriens" "Sterculia" "Sterculia_pruriens"
"Goupia_glabra" "Goupia" "Goupia_glabra"
"Indet._Indet." "Indet." "Indet._Indet."
"Oxandra_asbeckii" "Oxandra" "Oxandra_asbeckii"
"Guarea_pubescens" "Guarea" "Guarea_pubescens"
"Tovomita_sp.2CAY-ATDN" "Tovomita" "Tovomita_sp.2CAY-ATDN"
"Bocoa_prouacensis" "Bocoa" "Bocoa_prouacensis"
"Licania_heteromorpha" "Licania" "Licania_heteromorpha"
"Chaetocarpus_sp.1CAY-ATDN" "Chaetocarpus" "Chaetocarpus_sp.1CAY-ATDN"
"Iryanthera_sagotiana" "Iryanthera" "Iryanthera_sagotiana"
"Simaba_cedron" "Simaba" "Simaba_cedron"
"Tachigali_melinonii" "Tachigali" "Tachigali_melinonii"
"Licania_canescens" "Licania" "Licania_canescens"
"Inga_loubryana" "Inga" "Inga_loubryana"
"Helicostylis_tomentosa" "Helicostylis" "Helicostylis_tomentosa"
"Inga_Indet." "Inga" "Inga_Indet."
"Andira_coriacea" "Andira" "Andira_coriacea"
"Dendrobangia_boliviana" "Dendrobangia" "Dendrobangia_boliviana"
"Caryocar_glabrum" "Caryocar" "Caryocar_glabrum"
"Theobroma_subincanum" "Theobroma" "Theobroma_subincanum"
"Couratari_multiflora" "Couratari" "Couratari_multiflora"
"Duroia_micrantha" "Duroia" "Duroia_micrantha"
"Pradosia_cochlearia" "Pradosia" "Pradosia_cochlearia"
"Couepia_bracteosa" "Couepia" "Couepia_bracteosa"
"Ecclinusa_guianensis" "Ecclinusa" "Ecclinusa_guianensis"
"Tovomita_Indet." "Tovomita" "Tovomita_Indet."
"Dicorynia_guianensis" "Dicorynia" "Dicorynia_guianensis"
"Jacaranda_copaia" "Jacaranda" "Jacaranda_copaia"
"Cupania_scrobiculata" "Cupania" "Cupania_scrobiculata"
"Anacardium_spruceanum" "Anacardium" "Anacardium_spruceanum"
"Symphonia_Indet." "Symphonia" "Symphonia_Indet."
"Chaetocarpus_schomburgkianus" "Chaetocarpus" "Chaetocarpus_schomburgkianus"
"Parinari_campestris" "Parinari" "Parinari_campestris"
"Pouteria_flavilatex" "Pouteria" "Pouteria_flavilatex"
"Licania_licaniiflora" "Licania" "Licania_licaniiflora"
"Eschweilera_coriacea" "Eschweilera" "Eschweilera_coriacea"
"Coussarea_machadoana" "Coussarea" "Coussarea_machadoana"
"Eugenia_patrisii" "Eugenia" "Eugenia_patrisii"
"Pouteria_singularis" "Pouteria" "Pouteria_singularis"
"Pouteria_coriacea" "Pouteria" "Pouteria_coriacea"
"Manilkara_bidentata" "Manilkara" "Manilkara_bidentata"
"Iryanthera_hostmannii" "Iryanthera" "Iryanthera_hostmannii"
"Virola_michelii" "Virola" "Virola_michelii"
"Protium_opacum" "Protium" "Protium_opacum"
"Carapa_surinamensis" "Carapa" "Carapa_surinamensis"
"Recordoxylon_speciosum" "Recordoxylon" "Recordoxylon_speciosum"
"Conceveiba_Indet." "Conceveiba" "Conceveiba_Indet."
"Swartzia_polyphylla" "Swartzia" "Swartzia_polyphylla"
"Licania_micrantha" "Licania" "Licania_micrantha"
"Abarema_mataybifolia" "Abarema" "Abarema_mataybifolia"
"Pouteria_engleri" "Pouteria" "Pouteria_engleri"
"Abarema_jupunba" "Abarema" "Abarema_jupunba"
"Enterolobium_oldemanii" "Enterolobium" "Enterolobium_oldemanii"
"Protium_guianense" "Protium" "Protium_guianense"
"Lecythis_chartacea" "Lecythis" "Lecythis_chartacea"
"Parkia_velutina" "Parkia" "Parkia_velutina"
"Chrysophyllum_prieurii" "Chrysophyllum" "Chrysophyllum_prieurii"
