MesuMort,idCodeMesure,Meanings
VRAI (1),0,"Measure at DBH (1,30m) "
VRAI (1),1,"Elevated measure of 0,5 m "
VRAI (1),2,Elevated measure of 1 m  
VRAI (1),3,"Elevated measure of 1,5 m  "
VRAI (1),4,Species with a iregular trunk  
VRAI (1),7,Damaged tree (logging)
VRAI (1),9, Poisoned tree
FAUX (0),0,Natural death : standing
FAUX (0),1,death during logging: standing 
FAUX (0),4,Logged tree
FAUX (0),5,destroyed tree (logging)
FAUX (0),6,Natural death:  fallen (primary windfall)
FAUX (0),7,Natural death : fallen (secondary windfall)
FAUX (0),8,Died  following logging treatment
FAUX (0),9,Poisoned tree
