idTaxon,Famille,Genre,espece
1,Fabaceae,Paloue,sp.C1
2,Euphorbiaceae,Caryodendron,amazonicum
4,Araliaceae,Dendropanax,Indet.
36,Annonaceae,Duguetia,yeshidan
53,Annonaceae,Guatteria,wachenheimi
135,Anacardiaceae,Thyrsodium,guianense
137,Anacardiaceae,Thyrsodium,guianense
137,Anacardiaceae,Thyrsodium,spruceanum
139,Annonaceae,Oxandra,asbeckii
145,Boraginaceae,Cordia,panicularis
152,Indet.,Indet.Indet.,Indet.
173,Annonaceae,Duguetia,inconspicua
181,Burseraceae,Protium,pallidum
190,Annonaceae,Fusaea,longifolia
194,Burseraceae,Protium,spruceanum
202,Annonaceae,Guatteria,guianensis
203,Dilleniaceae,Doliocarpus,Indet.
214,Capparaceae,Capparidastrum,frondosum
219,Capparaceae,Neocalyptrocalyx,leprieurii
220,Capparaceae,Neocalyptrocalyx,maroniensis
220,Indet.,Indet.Indet.,Indet.
222,Annonaceae,Guatteria,schomburgkiana
243,Chrysobalanaceae,Indet.Chrysobalanaceae,sp.B1
247,Annonaceae,Anaxagorea,dolichocarpa
256,Annonaceae,Xylopia,discreta
264,Annonaceae,Xylopia,surinamensis
271,Apocynaceae,Ambelania,acida
272,Apocynaceae,Aspidosperma,album
283,Chrysobalanaceae,Exellodendron,barbatum
291,Apocynaceae,Couma,guianensis
300,Chrysobalanaceae,Hirtella,suffulta
307,Apocynaceae,Couma,guianensis
308,Apocynaceae,Himatanthus,bracteatus
318,Chrysobalanaceae,Licania,guianensis
320,Capparaceae,Neocalyptrocalyx,morii
325,Chrysobalanaceae,Licania,latifolia
333,Chrysobalanaceae,Licania,parviflora
339,Chrysobalanaceae,Licania,rodriguesii
362,Clusiaceae,Tovomita,sp.2
376,Clusiaceae,Tovomita,obovata
377,Clusiaceae,Tovomita,sp.1
383,Clusiaceae,Tovomita,sp.B1
386,Clusiaceae,Tovomita,sp.B5
429,Ebenaceae,Diospyros,lissocarpoides
434,Elaeocarpaceae,Sloanea,brevipes
435,Elaeocarpaceae,Sloanea,echinocarpa
441,Elaeocarpaceae,Sloanea,sinemariensis
536,Euphorbiaceae,Indet.Euphorbiaceae,sp.P4
550,Euphorbiaceae,Pera,glabrata
553,Euphorbiaceae,Sandwithia,guyanensis
556,Euphorbiaceae,Sapium,glandulosum
613,Fabaceae,Elizabetha,princeps
622,Arecaceae,Euterpe,oleracea
647,Fabaceae,Inga,auristellae
663,Fabaceae,Inga,flagelliformis
672,Fabaceae,Inga,lateriflora
686,Fabaceae,Inga,pilosula
701,Fabaceae,Inga,sp.P11
702,Fabaceae,Inga,sp.P12
769,Fabaceae,Platymiscium,pinnatum
815,Fabaceae,Vataireopsis,surinamensis
825,Hernandiaceae,Hernandia,guianensis
827,Humiriaceae,Humiriastrum,excelsum
865,Lauraceae,Aiouea,guianensis
868,Lauraceae,Aiouea,longipetiolata
886,Indet.,Indet.Indet.,Indet.
929,Lauraceae,Indet.Lauraceae,sp.B35
978,Lauraceae,Mezilaurus,sp.1(DS)
990,Lauraceae,Ocotea,diffusa
993,Lauraceae,Ocotea,fendleri
1021,Lauraceae,Rhodostemonodaphne,morii
1023,Lauraceae,Rhodostemonodaphne,saulensis
1025,Lecythidaceae,Corythophora,amapaensis
1026,Lecythidaceae,Corythophora,rimosa
1028,Lecythidaceae,Couratari,stellata
1032,Lecythidaceae,Eschweilera,chartaceifolia
1086,Bignoniaceae,Tabebuia,capitata
1088,Bignoniaceae,Handroanthus,impetiginosus
1089,Bignoniaceae,Tabebuia,insignis
1111,Malvaceae,Catostemma,fragrans
1116,Malvaceae,Eriotheca,longitubulosa
1149,Malvaceae,Sterculia,lisae
1151,Boraginaceae,Cordia,nodosa
1153,Malvaceae,Sterculia,parviflora
1154,Boraginaceae,Cordia,sagotii
1154,Melastomataceae,Miconia,tschudyoides
1167,Malvaceae,Sterculia,speciosa
1186,Melastomataceae,Miconia,affinis
1201,Melastomataceae,Miconia,ruficalyx
1230,Meliaceae,Trichilia,cipo
1234,Meliaceae,Trichilia,micropetala
