Parcelle,up,ess, num,ETAT,abattu,tout BE,sonde_creux,sonde_creux abatt,sonde_creux_refus,vol_BO,DBH_desi,V_Est,conca_UP,select
MAW752,2,SERP,18245,2§D&4,1,1,1,1,0,0,45,2.034,MAW752_2,0
MAW744,3,TAA,290,2§D&4,1,1,1,1,0,0,50,2.531,MAW744_3,1
MAW746,2,WAC,4013,2§&4,1,1,1,1,0,0,50,2.531,MAW746_2,1
MAW751,2,WAC,29099,2§&4,1,1,1,1,0,0,50,2.531,MAW751_2,0
MAW752,2,SERP,11382,2§D&4,1,1,1,1,0,0,55,3.080,MAW752_2,0
MAW752,2,GP,19803,2§D&4,1,1,1,1,0,0,55,3.080,MAW752_2,0
MAW752,2,CDN,11381,2§D&4,1,1,1,1,0,0,55,3.080,MAW752_2,0
MAW744,1,GP,713,2§D&4,1,1,1,1,0,0,55,3.080,MAW744_1,0
MAW745,2,AG,1141,2§&4,1,1,1,1,0,0,55,3.080,MAW745_2,0
MAW745,1,GP,1255,2§D&4,1,1,1,1,0,0,55,3.080,MAW745_1,0
MAW746,1,AG,4191,2§&4,1,1,1,1,0,0,55,3.080,MAW746_1,1
MAW746,1,BAF,4183,2§&4,1,1,1,1,0,0,55,3.080,MAW746_1,1
MAW746,2,GP,4252,2§&4,1,1,1,1,0,0,55,3.080,MAW746_2,1
MAW746,2,GAI,4430,2§&4,1,1,1,1,0,0,55,3.080,MAW746_2,1
MAW746,4,AG,4389,2§&4,1,1,1,1,0,0,55,3.080,MAW746_4,1
MAW746,4,BAF,4370,2§&4,1,1,1,1,0,0,55,3.080,MAW746_4,1
MAW746,3,GP,4715,2§&4,1,1,1,1,0,0,55,3.080,MAW746_3,1
MAW746,3,GP,4858,2§&4,1,1,1,1,0,0,55,3.080,MAW746_3,1
MAW746,2,GP,4468,2§&4,1,1,1,1,0,0,55,3.080,MAW746_2,1
MAW751,1,GP,29159,2§&4,1,1,1,1,0,0,55,3.080,MAW751_1,0
MAW751,2,WAC,54284,2§&4,1,1,1,1,0,0,55,3.080,MAW751_2,0
MAW752,2,AG,18270,2§D&4,1,1,1,1,0,0,60,3.682,MAW752_2,0
MAW752,3,AG,18588,2§D&4,1,1,1,1,0,0,60,3.682,MAW752_3,0
MAW752,2,AG,29269,2§D&4,1,1,1,1,0,0,60,3.682,MAW752_2,0
MAW752,1,GP,29754,2§D&4,1,1,1,1,0,0,60,3.682,MAW752_1,0
MAW744,1,GP,720,2§D&4,1,1,1,1,0,0,60,3.682,MAW744_1,0
MAW744,2,GP,196,2§D&4,1,1,1,1,0,0,60,3.682,MAW744_2,1
MAW745,2,BAF,1391,2§&4,1,1,1,1,0,0,60,3.682,MAW745_2,0
MAW746,1,AG,4595,2§&4,1,1,1,1,0,0,60,3.682,MAW746_1,1
MAW746,2,BAF,4256,2§&4,1,1,1,1,0,0,60,3.682,MAW746_2,1
MAW746,2,BAF,4206,2§&4,1,1,1,1,0,0,60,3.682,MAW746_2,1
MAW746,2,GP,4418,2§&4,1,1,1,1,0,0,60,3.682,MAW746_2,1
MAW746,4,GAI,4398,2§&4,1,1,1,1,0,0,60,3.682,MAW746_4,1
MAW746,3,BAF,4809,2§&4,1,1,1,1,0,0,60,3.682,MAW746_3,1
MAW746,3,GP,4868,2§&4,1,1,1,1,0,0,60,3.682,MAW746_3,1
MAW746,3,WAC,4859,2§&4,1,1,1,1,0,0,60,3.682,MAW746_3,1
MAW746,4,GP,4142,2§&4,1,1,1,1,0,0,60,3.682,MAW746_4,1
MAW746,2,AG,4452,2§D&4,1,1,1,1,0,0,60,3.682,MAW746_2,1
MAW746,4,BAF,4643,2§&4,1,1,1,1,0,0,60,3.682,MAW746_4,1
MAW746,2,BAF,4278,2§&4,1,1,1,1,0,0,60,3.682,MAW746_2,1
MAW748,1,AG,7974,2§D&4,1,1,1,1,0,0,60,3.682,MAW748_1,0
MAW748,2,AG,7077,2§D&4,1,1,1,1,0,0,60,3.682,MAW748_2,0
MAW751,1,GP,29987,2§D&4,1,1,1,1,0,0,60,3.682,MAW751_1,0
MAW751,1,GP,29447,2§&4,1,1,1,1,0,0,60,3.682,MAW751_1,0
MAW752,2,GP,18134,2§D&4,1,1,1,1,0,0,65,4.335,MAW752_2,0
MAW752,2,GP,19834,2§D&4,1,1,1,1,0,0,65,4.335,MAW752_2,0
MAW752,2,AG,19811,2§D&4,1,1,1,1,0,0,65,4.335,MAW752_2,0
MAW752,2,AG,18728,2§D&4,1,1,1,1,0,0,65,4.335,MAW752_2,0
MAW752,1,GP,29537,2§D&4,1,1,1,1,0,0,65,4.335,MAW752_1,0
MAW752,2,GP,29434,2§D&4,1,1,1,1,0,0,65,4.335,MAW752_2,0
MAW744,4,WAC,480,2§D&4,1,1,1,1,0,0,65,4.335,MAW744_4,0
MAW744,2,GP,517,2§D&4,1,1,1,1,0,0,65,4.335,MAW744_2,1
MAW745,2,GF,1299,2§&4,1,1,1,1,0,0,65,4.335,MAW745_2,0
MAW745,1,BAF,1220,2§D&4,1,1,1,1,0,0,65,4.335,MAW745_1,0
MAW746,2,AG,4200,2§&4,1,1,1,1,0,0,65,4.335,MAW746_2,1
MAW746,2,BAF,4417,2§&4,1,1,1,1,0,0,65,4.335,MAW746_2,1
MAW746,2,BAF,4420,2§&4,1,1,1,1,0,0,65,4.335,MAW746_2,1
MAW746,3,AG,4561,2§&4,1,1,1,1,0,0,65,4.335,MAW746_3,1
MAW746,3,AG,4579,2§&4,1,1,1,1,0,0,65,4.335,MAW746_3,1
MAW746,3,BAF,4552,2§&4,1,1,1,1,0,0,65,4.335,MAW746_3,1
MAW746,3,GP,4688,2§&4,1,1,1,1,0,0,65,4.335,MAW746_3,1
MAW746,2,BAF,4463,2§&4,1,1,1,1,0,0,65,4.335,MAW746_2,1
MAW748,1,AG,7963,2§D&4,1,1,1,1,0,0,65,4.335,MAW748_1,0
MAW751,1,GP,29441,2§D&4,1,1,1,1,0,0,65,4.335,MAW751_1,0
MAW752,1,CHW,11386,2§D&4,1,1,1,1,0,0,70,5.042,MAW752_1,0
MAW753,2,BAF,6002,2&4§,1,1,1,1,0,0,70,5.042,MAW753_2,0
MAW753,1,CDB,6245,2&4§,1,1,1,1,0,0,70,5.042,MAW753_1,1
MAW744,1,GFLR,868,2§D&4,1,1,1,1,0,0,70,5.042,MAW744_1,0
MAW744,4,BAF,303,2§D&4,1,1,1,1,0,0,70,5.042,MAW744_4,0
MAW744,3,AG,450,2§D&4,1,1,1,1,0,0,70,5.042,MAW744_3,1
MAW744,2,GP,170,2§&4,1,1,1,1,0,0,70,5.042,MAW744_2,1
MAW745,2,WAC,1477,2§&4,1,1,1,1,0,0,70,5.042,MAW745_2,0
MAW746,2,CDN,4435,2§&4,1,1,1,1,0,0,70,5.042,MAW746_2,1
MAW746,2,GAI,4014,2§&4,1,1,1,1,0,0,70,5.042,MAW746_2,1
MAW746,3,BAF,4814,2§&4,1,1,1,1,0,0,70,5.042,MAW746_3,1
