"Code 
Essence",Appellation,"Groupe
Essence","Groupe
Tarifaire","Nom 
scientifique","Autres 
appellations",DME,"Traitement
recommandé"
GFLG,Gonfolo gris,ECMp,I,Ruitzerania albiflora,Mandioqueira preta - Egron gronfoeloe,55 cm,1
BAF,Balata franc,ECMp,I,Manilkara bidentata et huberi,Boiti - Maçaranduba - Boletri,55 cm,0
AG,Angélique,ECMp,I,Dicorynia guyanensis,Singapetou - Basralocus - angelico do para,55 cm,0
GFLR,Gonfolo rose,ECMp,I,Qualea rosea,Mandioqueira rosa - Bergi gronfoeloe,55 cm,1
VIO,Amarante,ECMp,I,Peltogyne paniculata/venosa,Dachitan - Papaati - Purpleheart,55 cm,0
GP,Goupi,ECMp,I,Goupia glabra,Kopi - Cupiuba,55 cm,1
GF,Grignon franc,ECMp,I,Ocotea rubra,Wana - Louro vennelho,55 cm,0
ACF,Acacia franc,ECMa,II,Enterolobium schomburkii / E. oldemanii,Bougoubatibatra - Titimbatibatra - Acacia male,55 cm,0
MOR,Aïeoueko,AEC,II,Dimorphandra ssp.,Mora de St laurent,55 cm,0
ASO,Assao,AEC,II,Albizia pedicellaris,Gambui - Tamaren prokoni,55 cm,0
ANE,Bois rouge,AEC,II,Humiria balsamifera,Aneichi oudou - Ucoiri,0 cm,0
CDG,Cèdre gris,ECMa,II,Plusieurs espèces de Lauraceae,,0 cm,0
CDC,Cèdres durs,ECMa,II,Licaria cannela / L. cayennensis,,55 cm,0
INK,lnkassa,AEC,II,Vataireopsis surinamensis et spp.,Yongo - St martm jaune,55 cm,0
INKK,lnkassa tiabici,AEC,II,Vatairea eritrocarpa,St martin jaune,55 cm,0
KOUM,koumanti oudou,AEC,II,Aspidospenna album et cruentum,Araracanga,55 cm,0
SAL,Sali,AEC,II,Tetragastris spp.,,55 cm,0
WAG,Wacapou guittin,ECMa,II,Recordoxylon speciosum,Bounaati tiabici - Baruna,55 cm,0
WAP,Wapa,AEC,II,Eperua falcata,Bioudou - Apa - Walaba,55 cm,0
